CaseName,Zone,In_State_Generation_p1,Total_NJ_Load_p1,NJ_In-State_Clean_Consumption_p1,NJ_In-State_Clean_Consumption_fraction_p1,NJ_Total_Clean_Consumption_p1,NJ_Total_Clean_Consumption_fraction_p1,In_State_Generation_p2,Total_NJ_Load_p2,NJ_In-State_Clean_Consumption_p2,NJ_In-State_Clean_Consumption_fraction_p2,NJ_Total_Clean_Consumption_p2,NJ_Total_Clean_Consumption_fraction_p2,In_State_Generation_p3,Total_NJ_Load_p3,NJ_In-State_Clean_Consumption_p3,NJ_In-State_Clean_Consumption_fraction_p3,NJ_Total_Clean_Consumption_p3,NJ_Total_Clean_Consumption_fraction_p3
Basecase_RGGI,NJ,68397961,95007965.57,62553497.18,0.66,66722479.23,0.7,75836220,108186750.86,70651601.83,0.65,80790534.27,0.75,79334746,136203800.14,76212444.74,0.56,87822860.76,0.64
Updated_RGGI_noOOS,NJ,68408467,95007965.57,62519860.73,0.66,66706366.7,0.7,77926681,108186750.86,72264339.16,0.67,83365287.42,0.77,95794032,136203800.14,91982949.89,0.68,111724360.77,0.82
Updated_RGGI_procurement_noOOS,NJ,68389458,95007965.57,62526376.12,0.66,66708966.39,0.7,77927605,108186750.86,72270195.59,0.67,83382918.0,0.77,93656602,136203800.14,90163627.16,0.66,111642800.75,0.82
Updated_RGGI_procurement_noOOS_noninc,NJ,68405149,95007965.57,62525974.29,0.66,66714975.29,0.7,77941473,108186750.86,72257380.81,0.67,83377082.74,0.77,162031931,136203800.14,131547892.33,0.97,124148455.35,0.91
