CaseName,Zone,Maximum_NJ_Load_p1,Total_NJ_Load_p1,Total_System_Emissions_p1,Total_NJ_Emissions_p1,Total_RGGI_Emissions_p1,Maximum_NJ_Load_p2,Total_NJ_Load_p2,Total_System_Emissions_p2,Total_NJ_Emissions_p2,Total_RGGI_Emissions_p2,Maximum_NJ_Load_p3,Total_NJ_Load_p3,Total_System_Emissions_p3,Total_NJ_Emissions_p3,Total_RGGI_Emissions_p3
Basecase_RGGI,NJ,20884.0,95007965.57,710087938.2,339804.46,36298090.6,22085.0,108186750.86,821316832.15,103973.44,13800201.37,28765.0,136203800.14,890793410.02,109053.43,10742153.88
Updated_RGGI_noOOS_noninc,NJ,20884.0,95007965.57,710101192.44,350536.49,36313290.37,22085.0,108186750.86,818836008.93,95630.68,13800429.43,28765.0,136203800.14,801706738.4,93870.34,10858019.84
Updated_RGGI_procurement_noOOS_inc,NJ,20884.0,95007965.57,710163190.8,341603.99,36289563.22,22085.0,108186750.86,818973118.41,98769.66,13800970.51,28765.0,136203800.14,858186188.37,107348.63,10972494.29
Updated_RGGI_procurement_noOOS_noninc,NJ,20884.0,95007965.57,710123988.31,347326.35,36303126.05,22085.0,108186750.86,818977838.62,102662.32,13800515.81,28765.0,136203800.14,800749774.9,102311.89,10862589.32
