Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
MI_naturalgas_combustion_turbine_fframe_moderate_0,8,1,1,0.0,MI,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,122776,-1.0,1.083,20.0,37100.0,1765.719,121011.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
MI_nuclear_nuclear__large_conservative_0,8,1,1,0.0,MI,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,479664,-1.0,1.071,50.0,92750.0,4414.297,475250.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
MISC_naturalgas_1on1_combined_cycle_hframe_moderate_0,9,1,1,0.0,MISC,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,160773,-1.0,1.051,20.0,35240.0,1677.195,159096.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
MISC_naturalgas_combustion_turbine_fframe_moderate_0,9,1,1,0.0,MISC,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,120328,-1.0,1.062,20.0,35240.0,1677.195,118651.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
MISC_nuclear_nuclear__large_conservative_0,9,1,1,0.0,MISC,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,460337,-1.0,1.028,50.0,88100.0,4192.987,456145.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
NJ1_naturalgas_1on1_combined_cycle_hframe_moderate_0,10,1,1,0.0,NJ1,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,183020,-1.0,1.192,20.0,56100.0,2669.995,180351.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
NJ1_naturalgas_combustion_turbine_fframe_moderate_0,10,1,1,0.0,NJ1,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,128087,-1.0,1.123,20.0,56100.0,2669.995,125418.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
NJ1_nuclear_nuclear__large_conservative_0,10,1,1,0.0,NJ1,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,497799,-1.0,1.107,50.0,140250.0,6674.988,491125.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
NY1_naturalgas_1on1_combined_cycle_hframe_moderate_0,11,1,1,0.0,NY1,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,178822,-1.0,1.166,20.0,51220.0,2437.739,176385.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
NY1_naturalgas_combustion_turbine_fframe_moderate_0,11,1,1,0.0,NY1,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,123920,-1.0,1.087,20.0,51220.0,2437.739,121483.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
