Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
OH3_naturalgas_1on1_combined_cycle_hframe_moderate_0,15,1,1,0.0,OH3,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,149688,-1.0,0.976,20.0,42300.0,2013.205,147675.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH3_naturalgas_combustion_turbine_fframe_moderate_0,15,1,1,0.0,OH3,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,109019,-1.0,0.958,20.0,42300.0,2013.205,107006.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH3_nuclear_nuclear__large_conservative_0,15,1,1,0.0,OH3,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,439122,-1.0,0.978,50.0,105750.0,5033.013,434089.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
OH4_naturalgas_1on1_combined_cycle_hframe_moderate_0,16,1,1,0.0,OH4,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,149753,-1.0,0.976,20.0,43680.0,2078.884,147675.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH4_naturalgas_combustion_turbine_fframe_moderate_0,16,1,1,0.0,OH4,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,109084,-1.0,0.958,20.0,43680.0,2078.884,107006.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH4_nuclear_nuclear__large_conservative_0,16,1,1,0.0,OH4,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,439286,-1.0,0.978,50.0,109200.0,5197.21,434089.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
PA1_naturalgas_1on1_combined_cycle_hframe_moderate_0,17,1,1,0.0,PA1,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,182748,-1.0,1.192,20.0,50380.0,2397.761,180351.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA1_naturalgas_combustion_turbine_fframe_moderate_0,17,1,1,0.0,PA1,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,127815,-1.0,1.123,20.0,50380.0,2397.761,125418.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA1_nuclear_nuclear__large_conservative_0,17,1,1,0.0,PA1,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,497119,-1.0,1.107,50.0,125950.0,5994.401,491125.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
PA2_naturalgas_1on1_combined_cycle_hframe_moderate_0,18,1,1,0.0,PA2,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,182876,-1.0,1.192,20.0,53060.0,2525.311,180351.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA2_naturalgas_combustion_turbine_fframe_moderate_0,18,1,1,0.0,PA2,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,127943,-1.0,1.123,20.0,53060.0,2525.311,125418.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA2_nuclear_nuclear__large_conservative_0,18,1,1,0.0,PA2,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,497438,-1.0,1.107,50.0,132650.0,6313.278,491125.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
PA3_naturalgas_1on1_combined_cycle_hframe_moderate_0,19,1,1,0.0,PA3,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,182932,-1.0,1.192,20.0,54240.0,2581.471,180351.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA3_naturalgas_combustion_turbine_fframe_moderate_0,19,1,1,0.0,PA3,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,127999,-1.0,1.123,20.0,54240.0,2581.471,125418.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA3_nuclear_nuclear__large_conservative_0,19,1,1,0.0,PA3,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,497578,-1.0,1.107,50.0,135600.0,6453.679,491125.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
PA4_naturalgas_1on1_combined_cycle_hframe_moderate_0,20,1,1,0.0,PA4,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,183043,-1.0,1.192,20.0,56580.0,2692.84,180351.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA4_naturalgas_combustion_turbine_fframe_moderate_0,20,1,1,0.0,PA4,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,128110,-1.0,1.123,20.0,56580.0,2692.84,125418.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
PA4_nuclear_nuclear__large_conservative_0,20,1,1,0.0,PA4,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,497857,-1.0,1.107,50.0,141450.0,6732.101,491125.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
SERC_naturalgas_1on1_combined_cycle_hframe_moderate_0,21,1,1,0.0,SERC,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,south_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,139871,-1.0,0.911,20.0,42680.0,2031.291,137840.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
