Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
NY1_distributed_generation_1,11,0,0,1872.0,NY1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155444716242661,Solar,0.0,Solar
NY2_distributed_generation_1,12,0,0,1057.0,NY2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912361872146118,Solar,0.0,Solar
OH1_distributed_generation_1,13,0,0,368.0,OH1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054725538160469,Solar,0.0,Solar
OH2_distributed_generation_1,14,0,0,285.0,OH2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248567514677103,Solar,0.0,Solar
OH3_distributed_generation_1,15,0,0,98.0,OH3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2050229615133724,Solar,0.0,Solar
OH4_distributed_generation_1,16,0,0,132.0,OH4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106440313111546,Solar,0.0,Solar
PA1_distributed_generation_1,17,0,0,363.0,PA1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014165362035225,Solar,0.0,Solar
PA2_distributed_generation_1,18,0,0,15.0,PA2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904511904761905,Solar,0.0,Solar
PA3_distributed_generation_1,19,0,0,15.0,PA3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733534735812133,Solar,0.0,Solar
PA4_distributed_generation_1,20,0,0,989.0,PA4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119421395955642,Solar,0.0,Solar
SERC_distributed_generation_1,21,0,0,4007.0,SERC,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044608447488584,Solar,0.0,Solar
VA1_distributed_generation_1,22,0,0,38.0,VA1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2018484833659491,Solar,0.0,Solar
VA2_distributed_generation_1,23,0,0,914.0,VA2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095448467058056,Solar,0.0,Solar
