Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
OH1_onshore_wind_turbine_1,13,0,1,7.0,OH1,Onshore Wind Turbine,1,1.64,1.46,8.84,0,5.0,0.001,0.164,1.64,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3828860772968447,Wind,0.0,Wind
OH1_solar_photovoltaic_1,13,0,1,143.7,OH1,Solar Photovoltaic,1,14.37,0.0,8.84,0,10.0,0.001,0.199,14.37,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2481177032645931,Solar,0.0,Solar
OH2_onshore_wind_turbine_1,14,0,1,861.0,OH2,Onshore Wind Turbine,1,95.51,5.009,8.84,0,11.0,0.0,0.27,95.509,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3948977613523699,Wind,0.0,Wind
OH2_solar_photovoltaic_1,14,0,1,2129.7,OH2,Solar Photovoltaic,1,70.99,0.0,8.84,0,30.0,0.001,0.567,70.99,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380319319215003,Solar,0.0,Solar
OH3_solar_photovoltaic_1,15,0,1,369.8,OH3,Solar Photovoltaic,1,52.83,0.0,8.84,0,7.0,0.0,0.219,52.829,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376050063072079,Solar,0.0,Solar
OH4_solar_photovoltaic_1,16,0,1,280.0,OH4,Solar Photovoltaic,1,140.0,0.0,8.84,0,2.0,0.0,0.104,140.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2481924762370702,Solar,0.0,Solar
PA1_onshore_wind_turbine_1,17,0,1,54.0,PA1,Onshore Wind Turbine,1,32.7,0.4,8.84,0,2.0,0.0,0.232,32.7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476364611423305,Wind,0.0,Wind
PA1_solar_photovoltaic_1,17,0,1,55.6,PA1,Solar Photovoltaic,1,9.27,0.0,8.84,0,6.0,0.001,0.095,9.267,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239775102515197,Solar,0.0,Solar
PA2_onshore_wind_turbine_1,18,0,1,146.0,PA2,Onshore Wind Turbine,1,88.8,45.0,8.84,0,2.0,0.0,0.228,88.8,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4112842184772835,Wind,0.0,Wind
PA2_solar_photovoltaic_1,18,0,1,1.5,PA2,Solar Photovoltaic,1,1.5,0.0,8.84,0,1.0,0.0,0.118,1.5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354891878669276,Solar,0.0,Solar
PA3_solar_photovoltaic_1,19,0,1,88.5,PA3,Solar Photovoltaic,1,17.7,0.0,8.84,0,5.0,0.0,0.125,17.7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2280257322888911,Solar,0.0,Solar
PA4_onshore_wind_turbine_1,20,0,1,1070.0,PA4,Onshore Wind Turbine,1,56.72,2.265,8.84,0,23.0,0.0,0.284,56.722,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764669386892776,Wind,0.0,Wind
PA4_solar_photovoltaic_1,20,0,1,338.4,PA4,Solar Photovoltaic,1,9.95,0.003,8.84,0,34.0,0.0,0.148,9.953,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129845152837976,Solar,0.0,Solar
SERC_onshore_wind_turbine_1,21,0,1,172.0,SERC,Onshore Wind Turbine,1,52.52,0.0,8.84,0,4.0,0.0,0.23,52.525,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3790847093669011,Wind,0.0,Wind
SERC_solar_photovoltaic_1,21,0,1,13385.7,SERC,Solar Photovoltaic,1,13.15,0.063,8.84,0,1018.0,0.009,0.18,13.149,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379117495564785,Solar,0.0,Solar
VA1_solar_photovoltaic_1,22,0,1,468.0,VA1,Solar Photovoltaic,1,78.0,0.0,8.84,0,6.0,0.0,0.11,78.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311799958257778,Solar,0.0,Solar
VA2_offshore_wind_turbine_1,23,0,1,12.0,VA2,Offshore Wind Turbine,1,12.0,0.0,8.84,0,1.0,0.0,0.472,12.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wind,0.05,Wind
VA2_solar_photovoltaic_1,23,0,1,3311.9,VA2,Solar Photovoltaic,1,42.46,0.864,8.84,0,78.0,0.0,0.169,42.46,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2325504308303409,Solar,0.0,Solar
VA3_solar_photovoltaic_1,24,0,1,42.5,VA3,Solar Photovoltaic,1,14.17,0.0,8.84,0,3.0,0.0,0.181,14.167,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2428709621656881,Solar,0.0,Solar
VA4_solar_photovoltaic_1,25,0,1,104.3,VA4,Solar Photovoltaic,1,17.38,0.0,8.84,0,6.0,0.0,0.184,17.383,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069247269248786,Solar,0.0,Solar
WV1_onshore_wind_turbine_1,26,0,1,702.0,WV1,Onshore Wind Turbine,1,95.11,2.667,8.84,0,9.0,0.0,0.225,95.111,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4489083053470075,Wind,0.0,Wind
WV1_solar_photovoltaic_1,26,0,1,50.0,WV1,Solar Photovoltaic,1,50.0,0.0,8.84,0,1.0,0.0,0.0,50.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Solar,0.0,Solar
DE1_distributed_generation_1,1,0,0,208.0,DE1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028096542726679,Solar,0.0,Solar
IL1_distributed_generation_1,2,0,0,1284.0,IL1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214395221787345,Solar,0.0,Solar
ISONE_distributed_generation_1,3,0,0,7331.0,ISONE,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2039590182648401,Solar,0.0,Solar
KY3_distributed_generation_1,4,0,0,25.0,KY3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2009290280495759,Solar,0.0,Solar
KY4_distributed_generation_1,5,0,0,5.0,KY4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1947751304631441,Solar,0.0,Solar
MD1_distributed_generation_1,6,0,0,170.0,MD1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2010635681669928,Solar,0.0,Solar
MD2_distributed_generation_1,7,0,0,1492.0,MD2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2052759132420091,Solar,0.0,Solar
MI_distributed_generation_1,8,0,0,147.0,MI,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157731898238747,Solar,0.0,Solar
