CaseName,Zone,In_State_Generation_p1,Total_NJ_Load_p1,NJ_In-State_Clean_Consumption_p1,NJ_In-State_Clean_Consumption_fraction_p1,NJ_Total_Clean_Consumption_p1,NJ_Total_Clean_Consumption_fraction_p1,In_State_Generation_p2,Total_NJ_Load_p2,NJ_In-State_Clean_Consumption_p2,NJ_In-State_Clean_Consumption_fraction_p2,NJ_Total_Clean_Consumption_p2,NJ_Total_Clean_Consumption_fraction_p2,In_State_Generation_p3,Total_NJ_Load_p3,NJ_In-State_Clean_Consumption_p3,NJ_In-State_Clean_Consumption_fraction_p3,NJ_Total_Clean_Consumption_p3,NJ_Total_Clean_Consumption_fraction_p3
PJM_Baseline_Example_18,NJ,68400426,95007965.57,62535282.79,0.66,66714235.09,0.7,75811474,108186750.86,70585498.29,0.65,80739785.54,0.75,79309118,136203800.14,76181739.94,0.56,87820289.76,0.64
PJM_Baseline_Example_52,NJ,69720225,95046279.71,59850776.92,0.63,60494578.72,0.64,72125158,111938798.43,67596555.01,0.6,78111932.56,0.7,77921638,138174279.86,74690803.26,0.54,85520347.97,0.62
