CaseName,System_Cost_p1,NJ_Cost_p1,System_Cost_p2,NJ_Cost_p2,System_Cost_p3,NJ_Cost_p3
base_base,100875777785.1248,1.5830642211704843e9,100479775419.21744,1.8951428750599973e9,123640913706.30232,2.0797709140915794e9
base_ces,100868276098.18408,1.5781096298387518e9,100482577637.54016,1.8940139515639265e9,123712813962.4318,2.0674141332025251e9
base_cesccs,100905901843.84653,1.5836190324004946e9,86137053054.8332,1.438138841469659e9,110266491305.99448,2.0150044667915995e9
base_cesccstech,100858995854.8516,1.6478999592589922e9,86581762732.41144,2.6130796612699656e9,110108642131.49442,2.8074590748061996e9
base_cesccstechnuc35,100872294448.53873,1.6425591935085163e9,86579130027.0472,2.6185554417023106e9,110122004014.33269,2.8015323547645006e9
base_cesccstechnuc45,100872294448.53873,1.6425591935085163e9,86579130027.0472,2.6185554417023106e9,110122004014.33269,2.8015323547645006e9
base_cesccstechret,100872294448.53873,1.6425591935085163e9,86579130027.0472,2.6185554417023106e9,110170242170.26907,2.805686239781508e9
base_cesincccstech,100872294448.53873,1.6425591935085163e9,86579130027.0472,2.6185554417023106e9,110122004014.33269,2.8015323547645006e9
base_cesincccstechinstate,100872294448.53873,1.6425591935085163e9,86594456444.95088,2.62145435860883e9,110090755379.5666,2.800205341732153e9
