CaseName,Zone,Minor_Techs_p0,Hydropower_p0,Existing_Nuclear_p0,New_Nuclear_p0,Coal_p0,Solar_p0,Wind_p0,Natural_Gas_p0,Battery_Power_p0,Battery_Energy_p0,Minor_Techs_p1,Hydropower_p1,Existing_Nuclear_p1,New_Nuclear_p1,Coal_p1,Solar_p1,Wind_p1,Natural_Gas_p1,Battery_Power_p1,Battery_Energy_p1,Minor_Techs_p2,Hydropower_p2,Existing_Nuclear_p2,New_Nuclear_p2,Coal_p2,Solar_p2,Wind_p2,Natural_Gas_p2,Battery_Power_p2,Battery_Energy_p2,Minor_Techs_p3,Hydropower_p3,Existing_Nuclear_p3,New_Nuclear_p3,Coal_p3,Solar_p3,Wind_p3,Natural_Gas_p3,Battery_Power_p3,Battery_Energy_p3
PJM_Baseline_Example_18,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,0.08,0.0,17916.14,7.44,11500.48,7597.72,22174.25,113.4,9.9,3456.7,3.67,0.0,18154.46,1388.42,11576.36,5991.08,23938.13,113.4,9.9,3456.7,8.1,0.0,18508.62,2736.7,11641.98,7834.39,36928.79
PJM_Baseline_Example_18,DE1,107.6,0.0,0.0,0.0,0.0,355.8,0.0,2429.2,12.5,25.0,107.6,0.0,0.0,0.08,0.0,356.73,0.59,2433.53,199.19,287.87,107.6,0.0,0.0,3.72,0.0,391.41,191.96,2502.15,199.77,1005.78,107.6,0.0,0.0,8.15,0.0,416.24,196.43,2562.22,981.01,3375.96
PJM_Baseline_Example_18,PA3,2.9,0.0,0.0,0.0,0.0,95.5,0.0,88.0,0.0,0.0,2.9,0.0,0.0,0.08,0.0,97.52,0.55,913.91,176.84,346.33,2.9,0.0,0.0,3.54,0.0,108.01,518.65,1335.58,177.67,903.93,2.9,0.0,0.0,7.64,0.0,136.45,524.08,1979.03,541.87,2035.35
PJM_Baseline_Example_18,PA4,1651.9,827.2,7557.0,0.0,5809.9,1070.4,1070.0,19770.5,34.6,69.2,1651.9,827.2,7557.0,0.08,5809.85,1071.6,2117.31,19781.03,285.02,615.1,1651.9,827.2,7557.0,3.58,5809.67,1332.49,3112.58,27689.52,294.09,1269.25,1651.9,827.2,7557.0,7.74,5809.41,1877.69,3112.56,42485.51,1254.7,4121.15
PJM_Baseline_Example_52,NJ1,113.4,9.9,3456.7,0.0,0.0,3931.3,6.0,11488.2,69.7,139.4,113.4,9.9,3456.7,1.22,0.0,17267.46,17.29,11696.63,3608.87,12017.58,113.4,9.9,3456.7,1.93,0.0,17507.4,1391.24,11697.27,3665.41,18174.28,113.4,9.9,3456.7,5.99,0.0,17860.0,2738.21,11707.53,6818.78,32224.54
PJM_Baseline_Example_52,DE1,107.6,0.0,0.0,0.0,0.0,355.8,0.0,2429.2,12.5,25.0,107.6,0.0,0.0,1.26,0.0,368.77,4.25,2510.08,1220.85,3308.61,107.6,0.0,0.0,1.97,0.0,399.81,192.54,2509.76,1223.87,5271.85,107.6,0.0,0.0,6.12,0.0,424.38,196.11,2528.83,953.06,3700.8
PJM_Baseline_Example_52,PA3,2.9,0.0,0.0,0.0,0.0,95.5,0.0,88.0,0.0,0.0,2.9,0.0,0.0,1.26,0.0,249.08,3.96,1040.43,1025.02,2484.88,2.9,0.0,0.0,1.93,0.0,257.16,519.67,1351.36,1025.38,2487.57,2.9,0.0,0.0,5.81,0.0,280.2,522.85,2049.18,451.87,1872.65
PJM_Baseline_Example_52,PA4,1651.9,827.2,7557.0,0.0,5809.9,1070.4,1070.0,19770.5,34.6,69.2,1651.9,827.2,7557.0,1.23,5809.62,1090.17,1103.1,19960.02,1495.94,4195.95,1651.9,827.2,7557.0,1.89,5809.38,1347.23,3112.56,27571.09,1496.47,4921.47,1651.9,827.2,7557.0,5.8,5808.7,1888.66,3112.55,42948.93,1065.96,3648.16
