Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
2000.0,1.0,1.0,1.0,2000.0,18.0,168.0,408.0,1,1167.3,8835.300000000001,12436.2,4901.400000000001,526.5,617.4,6373.8,9855.0,32485.5,7794.900000000001,12995.1,2133.0,4584.6,5802.3,1294.2,2117.7000000000003,2862.9,334.8,198.0,10133.1,66018.6,2169.0,9970.2,316.8,62.1,1682.1000000000001,1329.3
,2.0,0.9,0.04,1800.0,,,648.0,2,1111.5,8498.7,11538.9,4697.1,504.0,587.7,6073.2,9477.0,30976.2,7416.900000000001,12321.0,2023.2,4403.7,5574.6,1243.8,2034.0,2782.8,325.8,192.6,9848.7,61980.3,2073.6,9528.300000000001,303.3,60.300000000000004,1639.8,1296.9
,3.0,0.55,0.024,1100.0,,,504.0,3,1096.2,8261.1,10909.800000000001,4599.900000000001,494.1,580.5,6008.400000000001,9204.300000000001,30058.2,7281.900000000001,11883.6,1951.2,4432.5,5610.6,1251.0,2047.5,2777.4,324.90000000000003,192.6,9828.0,59172.3,2063.7000000000003,9486.0,302.40000000000003,60.300000000000004,1648.8,1303.2
,4.0,0.2,0.003,400.0,,,840.0,4,1137.6000000000001,8292.6,10647.9,4635.900000000001,497.7,606.6,6284.7,9231.300000000001,29824.2,7551.900000000001,11837.7,1943.1000000000001,4619.7,5847.3,1304.1000000000001,2133.9,2926.8,342.90000000000003,202.5,10357.2,57582.0,2134.8,9818.1,312.3,61.2,1732.5,1369.8
,,,,,,,432.0,5,1197.9,8659.800000000001,10679.4,4843.8,521.1,659.7,6839.1,9613.800000000001,30615.3,7917.3,12114.0,1989.0,4997.7,6327.900000000001,1411.2,2308.5,3167.1,370.8,219.6,11208.6,57171.6,2302.2000000000003,10579.5,336.6,66.60000000000001,1884.6000000000001,1489.5
,,,,,,,24.0,6,1296.9,9414.0,11488.5,5153.400000000001,553.5,695.7,7216.2,10274.4,32691.600000000002,8572.5,12948.300000000001,2126.7000000000003,5301.900000000001,6711.3,1495.8,2448.0,3378.6,395.1,234.0,11955.6,59436.9,2432.7000000000003,11182.5,355.5,70.2,1994.4,1575.9
,,,,,,,696.0000000000001,7,1425.6000000000001,10097.1,12871.800000000001,5468.400000000001,588.6,748.8000000000001,7773.3,10798.2,34832.700000000004,9444.6,14290.2,2346.3,5598.900000000001,7086.6,1580.4,2585.7000000000003,3605.4,421.2,250.20000000000002,12761.1,64857.6,2609.1,11996.1,381.6,75.60000000000001,2090.7000000000003,1652.4
,,,,,,,24.0,8,1567.8,10889.1,14745.6,5831.1,627.3000000000001,815.4,8444.7,11482.2,37335.6,10348.2,15704.1,2578.5,5979.6,7568.1,1687.5,2761.2000000000003,3859.2000000000003,450.90000000000003,267.3,13657.5,68914.8,2835.0,13032.9,414.0,81.9,2225.7000000000003,1759.5
,,,,,,,576.0,9,1701.9,11569.5,16437.600000000002,6246.900000000001,670.5,883.8000000000001,9132.300000000001,12211.2,39944.700000000004,11249.1,17072.100000000002,2803.5,6349.5,8036.1,1791.9,2932.2000000000003,4104.900000000001,479.7,284.40000000000003,14527.800000000001,72909.90000000001,3051.9,14034.6,447.3,89.10000000000001,2355.3,1861.2
,,,,,,,240.0,10,1797.3,12152.7,17349.3,6617.7,711.0,925.2,9555.300000000001,12692.7,42176.700000000004,11824.2,17796.600000000002,2922.3,6655.5,8424.0,1879.2,3073.5,4277.7,500.40000000000003,296.1,15139.800000000001,77030.1,3251.7000000000003,14950.800000000001,475.2,94.5,2459.7000000000003,1944.0
