Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
2000.0,1.0,1.0,1.0,2000.0,18.0,168.0,240.0,1,1717.1000000000001,15448.400000000001,19506.300000000003,7612.000000000001,788.7,1008.7,10346.6,17161.100000000002,53639.3,13448.6,20589.800000000003,3407.8,8488.7,10551.2,2348.5,3886.3,5116.1,586.3000000000001,349.8,17471.300000000003,88996.6,3493.6000000000004,16920.2,521.4000000000001,106.7,2832.5000000000005,2128.5
,2.0,0.9,0.04,1800.0,,,360.0,2,1661.0000000000002,14914.900000000001,18509.7,7454.700000000001,774.4000000000001,975.7,10040.800000000001,16634.2,51817.700000000004,13010.800000000001,19533.800000000003,3232.9,8316.0,10336.7,2301.2000000000003,3807.1000000000004,5014.900000000001,575.3000000000001,343.20000000000005,17124.800000000003,85985.90000000001,3449.6000000000004,16700.2,514.8000000000001,105.60000000000001,2786.3,2093.3
,3.0,0.55,0.024,1100.0,,,960.0,3,1637.9,14584.900000000001,17999.300000000003,7362.3,763.4000000000001,963.6,9934.1,16228.300000000001,50579.100000000006,12877.7,19002.5,3144.9,8267.6,10277.300000000001,2288.0,3785.1000000000004,4980.8,570.9000000000001,339.90000000000003,17009.300000000003,84995.90000000001,3444.1000000000004,16679.300000000003,513.7,105.60000000000001,2772.0,2083.4
,4.0,0.2,0.003,400.0,,,384.0,4,1645.6000000000001,14425.400000000001,17790.300000000003,7335.900000000001,762.3000000000001,972.4000000000001,10049.6,16032.500000000002,50031.3,12906.300000000001,18759.4,3104.2000000000003,8347.900000000001,10376.300000000001,2308.9,3822.5000000000005,5036.900000000001,576.4000000000001,344.3,17200.7,84488.8,3479.3,16845.4,519.2,106.7,2807.2000000000003,2108.7000000000003
,,,,,,,480.0,5,1727.0000000000002,14448.500000000002,18117.0,7548.200000000001,783.2,1021.9000000000001,10580.900000000001,16148.000000000002,50290.9,13475.000000000002,18761.600000000002,3105.3,8713.1,10832.800000000001,2411.2000000000003,3989.7000000000003,5313.0,608.3000000000001,364.1,18143.4,85881.40000000001,3652.0000000000005,17685.800000000003,544.5,112.2,2962.3,2225.3
,,,,,,,24.0,6,1900.8000000000002,15064.500000000002,19643.800000000003,8023.400000000001,833.8000000000001,1125.3000000000002,11647.900000000001,16555.0,51924.4,14734.500000000002,19749.4,3268.1000000000004,9452.300000000001,11753.500000000002,2615.8,4328.5,5806.900000000001,665.5,397.1,19827.5,91014.00000000001,4012.8,19429.300000000003,598.4000000000001,123.20000000000002,3235.1000000000004,2431.0
,,,,,,,24.0,7,2079.0,16174.400000000001,23186.9,8628.400000000001,895.4000000000001,1214.4,12562.000000000002,18268.800000000003,55448.8,16462.600000000002,23123.100000000002,3826.9,10123.300000000001,12584.000000000002,2801.7000000000003,4634.3,6219.400000000001,712.8000000000001,425.70000000000005,21237.7,101764.3,4299.900000000001,20820.800000000003,642.4000000000001,132.0,3422.1000000000004,2570.7000000000003
,,,,,,,24.0,8,2171.4,17374.5,25473.800000000003,9080.5,941.6,1247.4,12882.1,20097.0,59871.9,17123.7,25383.600000000002,4202.0,10370.800000000001,12890.900000000001,2869.9,4747.6,6340.400000000001,726.0000000000001,434.50000000000006,21650.2,109118.90000000001,4337.3,21001.2,646.8000000000001,133.10000000000002,3480.4,2614.7000000000003
,,,,,,,648.0,9,2209.9,18363.4,26533.100000000002,9289.5,963.6,1263.9,12958.000000000002,21059.5,62805.600000000006,17237.0,26413.2,4372.5,10470.900000000001,13016.300000000001,2897.4,4793.8,6381.1,731.5000000000001,436.70000000000005,21792.100000000002,110998.8,4304.3,20841.7,642.4000000000001,132.0,3520.0000000000005,2645.5
,,,,,,,600.0,10,2184.6000000000004,18922.2,26164.600000000002,9363.2,971.3000000000001,1240.8000000000002,12713.800000000001,21129.9,64186.100000000006,16765.100000000002,26472.600000000002,4381.3,10352.1,12868.900000000001,2863.3,4739.900000000001,6288.700000000001,720.5000000000001,430.1,21474.2,109455.50000000001,4184.400000000001,20263.100000000002,624.8000000000001,127.60000000000001,3505.7000000000003,2633.4
