Policy,NSE_MWh_System_p1,NSE_MWh_System_p2,NSE_MWh_System_p3,NSE_pct_System_p1,NSE_pct_System_p2,NSE_pct_System_p3
base,1270290.5,1850601.52,2067143.04,0.0535,0.0691,0.0648
ces,1263658.85,1827343.44,2051155.83,0.05330000000000001,0.0682,0.0643
cesccs,1263658.85,1827343.44,2109285.4,0.05330000000000001,0.0682,0.0661
cesccsret,1249709.7,1827429.15,2204601.07,0.052700000000000004,0.0682,0.0691
cesccstechnuc35,1240367.76,1866308.59,2114773.43,0.0523,0.0697,0.0663
cesincccs,1264253.12,1871794.24,2201079.67,0.05330000000000001,0.06989999999999999,0.06899999999999999
cesinstate50,1278153.33,1880889.74,2057101.19,0.053899999999999997,0.0702,0.0645
